Monster	Type	AC	HD	Save	Campaign Setting	Source	Pg. #	Edition	Legal Status	OGL Source
Dwarf, Gully (Aghar)					Dragonlance	Dragons of Despair (DL1)	30	AD&D1		
Dwarf, Gully (Aghar)					Dragonlance	Dragons of Flame (DL2)	31	AD&D1		
Dwarf, Gully (Aghar)					Dragonlance	Dragons of Triumph (DL14)	17	AD&D1		
Dwarf, Hill					Generic	Monstrous Compendium Volume Two		AD&D2		
Dwarf, Hill					Generic	Monstrous Manual 	94	AD&D2		
Dwarf, Hill (Neidar)					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Dwarf, Mountain					Generic	Monster Manual	36	AD&D1		
Dwarf, Mountain					Generic	Monstrous Compendium Volume Two		AD&D2		
Dwarf, Mountain					Generic	Monstrous Manual 	94	AD&D2		
Dwarf, Mountain (Hylar)					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Dwarf, Savage Coast					Red Steel	Red Steel Campaign Expansion [Campaign Book]	5	AD&D2		
Dwarf, Scorned					Dragonlance	Time of the Dragon [Rulebook of Taladas]	2	AD&D2		
Dwarf, Theiwar					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Dwarf, Urdunnir					Generic	Monstrous Compendium Annual Volume Three	36	AD&D2		
Dwarf, Wild					Forgotten Realms	Dwarves Deep (FR11)	9	AD&D2		
Dwarf, Wild					Generic	Monstrous Compendium Annual Volume Two 	47	AD&D2		
Dwarf, Zakhar					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Dwarven Undead					Generic	Dragon Mountain 		AD&D2		
Dwarves					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	16	D&D1		
Dwarves					Mystara	Karameikos: Kingdom of Adventure [Explorer's Guide]	27	AD&D2		
Dwarves					Savage Coast	Savage Coast Campaign Book [Part 2: Player Characters]		AD&D2		
Dwarves, Durin					Generic	Supplement IV: Gods, Demigods, Heroes	31	D&D1		
Dwarves, Modsogner					Generic	Supplement IV: Gods, Demigods, Heroes	31	D&D1		
Dweomerborn					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Dyll					Generic	Dragon #55	61	AD&D1		
Each Uisge					Generic	Imagine #17	31	AD&D1		
Eagle					Generic	Monster Manual II	62	AD&D1		
Eagle 1					Generic	Supplement IV: Gods, Demigods, Heroes	42	D&D1		
Eagle 2					Generic	Supplement IV: Gods, Demigods, Heroes	42	D&D1		
Eagle, Giant					Generic	Monster Manual	36	AD&D1		
Eagle, Giant					Generic	Monstrous Compendium Volume Two		AD&D2		
Eagle, Wild					Generic	Monstrous Compendium Volume Two		AD&D2		
Ear Seeker					Generic	Monster Manual	36	AD&D1		
Ear Seeker					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Earth Giants					Dragonlance	Dragon #256	53	AD&D2		
Earth Queen					Generic	Supplement IV: Gods, Demigods, Heroes	42	D&D1		
Earth Spider (A Great Evil)					Forgotten Realms	Hall of Heroes (FR7)	18	AD&D2		
Earth Weird					Generic	Dragon Mountain 		AD&D2		
Eastern Vampire					Spelljammer	Crystal Spheres (SJA3)	64	AD&D2		
Eater of Knowledge					Planescape	Planescape Monstrous Compendium Appendix II 	26	AD&D2		
Eater of Souls					Lankhmar	Swords of Deceit (CA2)	39	AD&D1		
Eblis					Generic	Monster Manual II	62	AD&D1		
Eblis					Greyhawk	Land Beyond the Magic Mirror (EX2)	28	AD&D1		
Ebon Tiger					Planescape	Guide to the Ethereal Plane	63	AD&D2		
Ebony Fly					Generic	Encyclopedia Magica, Volume II	478	AD&D2		
Echidna					Generic	Dragon #58	12	AD&D1		
Echidna the Greater Medusa					Forgotten Realms	Dungeon #40	32	AD&D2		
Echyan					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Ee'aar					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Eel, Electric					Generic	Monster Manual	36	AD&D1		
Eel, Electric					Generic	Monstrous Compendium Volume Two		AD&D2		
Eel, Electric					Generic	Monstrous Manual 	117	AD&D2		
Eel, Electric (Marine)					Generic	Monster Manual II	62	AD&D1		
Eel, Giant					Generic	Monster Manual	36	AD&D1		
Eel, Giant					Generic	Monstrous Compendium Volume Two		AD&D2		
Eel, Giant					Generic	Monstrous Manual 	117	AD&D2		
Eel, Giant Moray					Generic	Monstrous Compendium Annual Volume Three	37	AD&D2		
Eel, Giant Moray					Generic	Night Below: An Underdark Campaign 		AD&D2		
Eel, Marine					Generic	Monstrous Compendium Volume Two		AD&D2		
Eel, Marine					Generic	Monstrous Manual 	117	AD&D2		
Eel, Poison					Lankhmar	Lankhmar: City of Adventure 	145	AD&D2		
Eel, Weed					Generic	Monster Manual	36	AD&D1		
Eel, Weed					Generic	Monstrous Compendium Volume Two		AD&D2		
Eel, Weed					Generic	Monstrous Manual 	117	AD&D2		
Eels, Poison					Lankhmar	Lankhmar: City of Adventure 	70	AD&D1		
Eels, Poisonous					Lankhmar	Nehwon (LNA2)	92	AD&D2		
Efreet					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	19	D&D1		
Efreeti					Generic	Monster Manual	37	AD&D1		
Egarus					Planescape	Planescape Monstrous Compendium Appendix III	36	AD&D2		
Egder (the eagle of Yggdrasil)					Generic	Dragon #110	17	AD&D1		
Einheriar					Generic	Manual of the Planes	122	AD&D1		
Einheriar					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Einheriar					Generic	Supplement IV: Gods, Demigods, Heroes	29	D&D1		
Einheriar					Planescape	Planescape Monstrous Compendium Appendix 	38	AD&D2		
Ekimmu					Generic	Dragon #210	29	AD&D2		
Ekimmu					Generic	Monstrous Compendium Annual Volume Two 	48	AD&D2		
Ekimmu					Generic	Best of Dragon, Vol. II	60	D&D?		
Ekimmu					Generic	Dragon #25	42	D&D?		
Ekrat					Generic	Dragon #94	47	AD&D1		
Eladrin, Bralani (Lesser)					Planescape	Planescape Monstrous Compendium Appendix II 	30	AD&D2		
Eladrin, Coure (Lesser)					Planescape	Planescape Monstrous Compendium Appendix II 	31	AD&D2		
Eladrin, Firre (Greater)					Planescape	Planescape Monstrous Compendium Appendix II 	32	AD&D2		
Eladrin, Ghaele (Greater)					Planescape	Planescape Monstrous Compendium Appendix II 	33	AD&D2		
Eladrin, Noviere (Lesser)					Planescape	Planescape Monstrous Compendium Appendix II 	34	AD&D2		
Eladrin, Shiere (Lesser)					Planescape	Planescape Monstrous Compendium Appendix II 	35	AD&D2		
Eladrin, Tulani (Greater)					Planescape	Planescape Monstrous Compendium Appendix II 	36	AD&D2		
Elasmosaurus					Blackmoor	Supplement II: Blackmoor	19	D&D1		
Elasmotherium					Generic	Dragon #137	45	AD&D1		
Elder Brain					Generic	Illithiad	92	AD&D2		
Elder Brains					Generic	Illithiad	16	AD&D2		
Elder Eternal Evil, Dendar the Night Serpent					Forgotten Realms	Powers & Pantheons	188	AD&D2		
Elder Eternal Evil, Ityak-Ortheel, the Elf-Eater					Forgotten Realms	Powers & Pantheons	188	AD&D2		
Elder Eternal Evil, Kezef the Chaos Hound					Forgotten Realms	Powers & Pantheons	188	AD&D2		
Elder Gorgon					Generic	Dungeon Master Option Rulebook: High-Level Campaigns	67	AD&D2		
Elder Orb					Generic	I, Tyrant 	72	AD&D2		
Electric Spider					Forgotten Realms	Pools of Darkness [Adventurer's Journal]	17	AD&D2		
Electrum Dragon					Generic	Dragon #74	17	AD&D1		
Electrum Dragon (Draco Magus Electrum)					Forgotten Realms	Ruins of Myth Drannor		AD&D2		
Elemental Beast, Air					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	38	AD&D2		
Elemental Beast, Earth					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	39	AD&D2		
Elemental Beast, Fire					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	40	AD&D2		
Elemental Beast, Water					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	41	AD&D2		
Elemental Demons					Generic	Dragon #37	M8	AD&D1		
Elemental Fire-Kin, Tome Guardian					Generic	Monstrous Compendium Annual Volume Three	38	AD&D2		
Elemental Kin, Earth, Crysmal					Al-Qadim	Secrets of the Lamp (ALQ4)		AD&D2		
Elemental Kin, Earth, Crysmal					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Elemental Kin, Fire, Azer					Al-Qadim	Secrets of the Lamp (ALQ4)		AD&D2		
Elemental Princes of Evil, Cryonax (Prince of Evil Cold Creatures)					Generic	Fiend Folio	31	AD&D1		
Elemental Princes of Evil, Imix (Prince of Evil Fire Creatures)					Generic	Fiend Folio	31	AD&D1		
Elemental Princes of Evil, Ogrémoch (Prince of Evil Earth Creatures)					Generic	Fiend Folio	32	AD&D1		
Elemental Princes of Evil, Olhydra (Princess of Evil Water Creatures)					Generic	Fiend Folio	32	AD&D1		
Elemental Princes of Evil, Yan-C-Bin (Prince of Evil Aerial Creatures)					Generic	Fiend Folio	33	AD&D1		
Elemental Vermin, Air (Duster)					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Elemental Vermin, Earth (Crawler)					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Elemental Vermin, Fire (Flameling)					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Elemental Vermin, Water (Spitter)					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Elemental of Chaos, Eolian					Mystara	Mystara Monstrous Compendium Appendix 	37	AD&D2		
Elemental of Chaos, Erdeen					Mystara	Mystara Monstrous Compendium Appendix 	37	AD&D2		
Elemental of Chaos, Pyrophor					Mystara	Mystara Monstrous Compendium Appendix 	38	AD&D2		
Elemental of Chaos, Undine					Mystara	Mystara Monstrous Compendium Appendix 	38	AD&D2		
Elemental of Law, Anemo					Mystara	Mystara Monstrous Compendium Appendix 	39	AD&D2		
Elemental of Law, Helion					Mystara	Mystara Monstrous Compendium Appendix 	40	AD&D2		
Elemental of Law, Hydrax					Mystara	Mystara Monstrous Compendium Appendix 	40	AD&D2		
Elemental of Law, Kryst					Mystara	Mystara Monstrous Compendium Appendix 	39	AD&D2		
Elemental, Air					Generic	Monster Manual	37	AD&D1		
Elemental, Air					Generic	Monstrous Compendium Volume One		AD&D2		
Elemental, Air					Generic	Monstrous Manual 	99	AD&D2		
Elemental, Air					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	18	D&D1		
Elemental, Air Kin, Aerial Servant					Generic	Monstrous Manual 	101	AD&D2		
Elemental, Air Kin, Sylph					Generic	Monstrous Manual 	101	AD&D2		
Elemental, Ash					Dragonlance	Sylvan Veil	46	AD&D2		
Elemental, Clerical					Dark Sun	Dragon Kings 	156	AD&D2		
Elemental, Composite, Arctic Tempest					Generic	Monstrous Manual 	106	AD&D2		
Elemental, Composite, Black Cloud of Vengeance					Generic	Monstrous Manual 	106	AD&D2		
Elemental, Composite, Skriaxit					Generic	Monstrous Manual 	105	AD&D2		
Elemental, Composite, Tempest					Generic	Monstrous Manual 	105	AD&D2		
Elemental, Darkness					Generic	Dragon #227	26	AD&D2		
Elemental, Earth					Generic	Monster Manual	38	AD&D1		
Elemental, Earth					Generic	Monstrous Compendium Volume One		AD&D2		
Elemental, Earth					Generic	Monstrous Manual 	99	AD&D2		
Elemental, Earth					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	18	D&D1		
Elemental, Earth Kin, Fire Snake					Generic	Monstrous Manual 	103	AD&D2		
Elemental, Earth Kin, Pech					Generic	Monstrous Manual 	102	AD&D2		
Elemental, Earth Kin, Salamander					Generic	Monstrous Manual 	103	AD&D2		
Elemental, Earth Kin, Sandling					Generic	Monstrous Manual 	102	AD&D2		
Elemental, Earth Weird					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Elemental, Fire					Generic	Monster Manual	38	AD&D1		
Elemental, Fire					Generic	Monstrous Compendium Volume One		AD&D2		
Elemental, Fire					Generic	Monstrous Manual 	100	AD&D2		
Elemental, Fire					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	18	D&D1		
Elemental, Greater Air					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Elemental, Greater Earth					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Elemental, Greater Fire					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Elemental, Greater Water					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Elemental, Lesser Air					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Elemental, Lesser Earth					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Elemental, Lesser Fire					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Elemental, Lesser Water					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Elemental, Miniature, Air					Al-Qadim	Al-Qadim: The Genie's Curse [Rule Book]	53	AD&D2		
Elemental, Miniature, Earth					Al-Qadim	Al-Qadim: The Genie's Curse [Rule Book]	53	AD&D2		
Elemental, Miniature, Fire					Al-Qadim	Al-Qadim: The Genie's Curse [Rule Book]	53	AD&D2		
Elemental, Miniature, Water					Al-Qadim	Al-Qadim: The Genie's Curse [Rule Book]	53	AD&D2		
Elemental, Nature					Forgotten Realms	Ruins of Zhentil Keep [Monstrous Compendium booklet]	4	AD&D2		
Elemental, Nature					Generic	Monstrous Compendium Annual Volume Two 	49	AD&D2		
Elemental, Ravenoft, Blood					Ravenloft	Monstrous Compendium Ravenloft Appendix		AD&D2		
Elemental, Ravenoft, Blood					Ravenloft	Ravenloft Monstrous Compendium Appendices I & II 	21	AD&D2		
Elemental, Ravenoft, Grave					Ravenloft	Monstrous Compendium Ravenloft Appendix		AD&D2		
Elemental, Ravenoft, Grave					Ravenloft	Ravenloft Monstrous Compendium Appendices I & II 	21	AD&D2		
Elemental, Ravenoft, Mist					Ravenloft	Monstrous Compendium Ravenloft Appendix		AD&D2		
Elemental, Ravenoft, Mist					Ravenloft	Ravenloft Monstrous Compendium Appendices I & II 	22	AD&D2		
Elemental, Ravenoft, Pyre					Ravenloft	Monstrous Compendium Ravenloft Appendix		AD&D2		
Elemental, Ravenoft, Pyre					Ravenloft	Ravenloft Monstrous Compendium Appendices I & II 	22	AD&D2		
Elemental, Sandman					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Elemental, Smoke					Ravenloft	Awakening 	63	AD&D2		
Elemental, Undead Air					Ravenloft	Terrors from Above	50	AD&D2		
Elemental, Water					Generic	Monster Manual	38	AD&D1		
Elemental, Water					Generic	Monstrous Compendium Volume One		AD&D2		
Elemental, Water					Generic	Monstrous Manual 	100	AD&D2		
Elemental, Water					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	19	D&D1		
Elemental, Water Kin, Nereid					Generic	Monstrous Manual 	104	AD&D2		
Elemental, Water Kin, Water Weird					Generic	Monstrous Manual 	104	AD&D2		
Elemental, Wind Walker					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Elementals					Greyhawk	Supplement I: Greyhawk	34	D&D1		
Elenoin					Melniboné	Deities and Demigods Cyclopedia	89	AD&D1		
Elephant (African)					Generic	Monstrous Compendium Volume One		AD&D2		
Elephant (African)					Generic	Monstrous Manual 	107	AD&D2		
Elephant Bird					Al-Qadim	Monstrous Compendium Al-Qadim Appendix (MC13)		AD&D2		
Elephant, (Asiatic) Elephant					Generic	Monster Manual	38	AD&D1		
Elephant, Loxodont (African Elephant)					Generic	Monster Manual	38	AD&D1		
Elephant, Mammoth					Generic	Monstrous Compendium Volume One		AD&D2		
Elephant, Mammoth					Generic	Monstrous Manual 	107	AD&D2		
Elephant, Mastodon					Generic	Monstrous Compendium Volume One		AD&D2		
Elephant, Mastodon					Generic	Monstrous Manual 	107	AD&D2		
Elephant, Oliphant					Generic	Monstrous Compendium Volume One		AD&D2		
Elephant, Oliphant					Generic	Monstrous Manual 	107	AD&D2		
Elephant, dwarf					Generic	Dragon #167	17	AD&D2		
Elevated Ghoul					Greyhawk	Return to White Plume Mountain	61	AD&D2		
Elf					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	42	AD&D2		
Elf					Generic	Monster Manual	39	AD&D1		
Elf					Generic	Monstrous Compendium Volume One		AD&D2		
Elf					Generic	Monstrous Manual 	108	AD&D2		
Elf					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	16	D&D1		
Elf					Mystara	Karameikos: Kingdom of Adventure [Explorer's Guide]	26	AD&D2		
Elf					Savage Coast	Savage Coast Campaign Book [Part 2: Player Characters]		AD&D2		
Elf, Aquatic					Blackmoor	Supplement II: Blackmoor	20	D&D1		
Elf, Aquatic					Forgotten Realms	Monstrous Compendium Forgotten Realms Appendix (MC11)		AD&D2		
Elf, Aquatic					Generic	Monstrous Manual 	110	AD&D2		
Elf, Aquatic Elf					Generic	Monster Manual	39	AD&D1		
Elf, Aquatic, Malenti					Forgotten Realms	Monstrous Compendium Forgotten Realms Appendix (MC11)		AD&D2		
Elf, Aquatic, Malenti					Generic	Monstrous Manual 	111	AD&D2		
Elf, Athasian					Dark Sun	Dragon #173	14	AD&D2		
Elf, Cha'asii					Dragonlance	Time of the Dragon [Rulebook of Taladas]	3	AD&D2		
Elf, Clan					Dragonlance	Time of the Dragon [Rulebook of Taladas]	3	AD&D2		
Elf, Drow					Generic	Monster Manual	39	AD&D1		
Elf, Drow					Generic	Complete Starter Set [Monstrous Manual]	8	AD&D2		
Elf, Drow					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	8	AD&D2		
Elf, Drow					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	8	AD&D2		
Elf, Drow					Generic	Monstrous Compendium Volume Two		AD&D2		
Elf, Drow					Generic	Monstrous Manual 	112	AD&D2		
Elf, Drow (Dark Elf)					Generic	Fiend Folio	33	AD&D1		
Elf, Drow, Drider					Generic	Monstrous Compendium Volume Two		AD&D2		
Elf, Drow, Drider					Generic	Monstrous Manual 	112	AD&D2		
Elf, Gray Elf (Faerie)					Generic	Monster Manual	39	AD&D1		
Elf, Grugach					Generic	Monster Manual II	63	AD&D1		
Elf, Grugach					Greyhawk	Monstrous Compendium Greyhawk Appendix		AD&D2		
Elf, Half					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Elf, Half-Elf					Generic	Monster Manual	39	AD&D1		
Elf, High - Qualinesti					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Elf, High - Silvanesti					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Elf, Hulderfolk					Dragonlance	Time of the Dragon [Rulebook of Taladas]	3	AD&D2		
Elf, Light					Generic	Supplement IV: Gods, Demigods, Heroes	31	D&D1		
Elf, Rockseer					Generic	Monstrous Compendium Annual Volume Three	40	AD&D2		
Elf, Rockseer					Generic	Night Below: An Underdark Campaign 		AD&D2		
Elf, Savage Coast					Red Steel	Red Steel Campaign Expansion [Campaign Book]	5	AD&D2		
Elf, Sea - Dargonesti					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Elf, Sea - Dimernesti					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Elf, Sea, Dargonesti					Dragonlance	Dragons of Faith (DL12)	60	AD&D1		
Elf, Sea, Dargonesti					Dragonlance	Dragons of Triumph (DL14)	18	AD&D1		
Elf, Sea, Dimernesti					Dragonlance	Dragons of Faith (DL12)	60	AD&D1		
Elf, Sea, Dimernesti					Dragonlance	Dragons of Triumph (DL14)	18	AD&D1		
Elf, Valley					Greyhawk	Lost Caverns of Tsojcanth (S4) [Booklet 2: Monsters and Magical Items]	12	AD&D1		
Elf, Valley					Greyhawk	Monstrous Compendium Greyhawk Appendix		AD&D2		
Elf, Valley Elf					Generic	Monster Manual II	63	AD&D1		
Elf, Wild - Kagonesti					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Elf, Winged					Generic	Monstrous Compendium Annual Volume Two 	50	AD&D2		
Elf, Wood Elf					Generic	Monster Manual	40	AD&D1		
Elfin Cat					Generic	Monster Manual II	63	AD&D1		
Elghonn					Generic	Dragon Annual #1	40	AD&D2		
Elite Firenewts					Generic	Dungeon #74	65	AD&D2		
Elmarin					Spelljammer	Spelljammer: AD&D Adventures in Space [Lorebook of the Void]	75	AD&D2		
Elphidium					Generic	Dragon #111	32	AD&D1		
Eltab					Forgotten Realms	Spellbound [Monstrous Compendium]	5	AD&D2		
Elven Forest Water Naga, Adolescent					Forgotten Realms	Elminster's Ecologies [Cormanthor]	30	AD&D2		
Elven Forest Water Naga, Egg					Forgotten Realms	Elminster's Ecologies [Cormanthor]	30	AD&D2		
Elven Forest Water Naga, Hatchling					Forgotten Realms	Elminster's Ecologies [Cormanthor]	30	AD&D2		
Elven Forest Water Naga, Mature					Forgotten Realms	Elminster's Ecologies [Cormanthor]	30	AD&D2		
Embrac					Generic	Dragon #150	14	AD&D1		
Emerald Dragon					Generic	Best of Dragon Magazine, Vol. III	37	AD&D1		
Emerald Dragon					Generic	Dragon #37	7	AD&D1		
Emu					Generic	Dragon #186	46	D&D?		
Enchanted Aurak Draconian					Dragonlance	Dark Queen of Krynn [Adventurer's Journal]	22	AD&D2		
Enchanted Baaz Draconian					Dragonlance	Dark Queen of Krynn [Adventurer's Journal]	22	AD&D2		
Enchanted Bozak Draconian					Dragonlance	Dark Queen of Krynn [Adventurer's Journal]	22	AD&D2		
Enchanted Kapak Draconian					Dragonlance	Dark Queen of Krynn [Adventurer's Journal]	22	AD&D2		
Enchanted Sivak Draconian					Dragonlance	Dark Queen of Krynn [Adventurer's Journal]	23	AD&D2		
Enchanted Traag Draconian					Dragonlance	Dark Queen of Krynn [Adventurer's Journal]	23	AD&D2		
Enduk					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Energy pod					Generic	Dragon #174	99	AD&D2		
Enormous Rot Grubs					Generic	Imagine #15	23	AD&D1		
Enormous Rot Grubs					Generic	Imagine Special Edition #1 [Round the Bend]	3	AD&D1		
Enormous Spider					Forgotten Realms	Pools of Darkness [Adventurer's Journal]	17	AD&D2		
Entrope					Planescape	Planescape Monstrous Compendium Appendix III	38	AD&D2		
Ents					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	16	D&D1		
Enveloper					Generic	Fiend Folio	34	AD&D1		
Eogyrinus					Generic	Dragon #176	85	AD&D2		
Eormennoth					Forgotten Realms	City of Ravens Bluff	93	AD&D2		
Epadrazzil					Generic	Dungeon #2	64	D&D?		
Ephemeral					Spelljammer	Spelljammer: AD&D Adventures in Space [Lorebook of the Void]	76	AD&D2		
Epimetheus ("Known as Afterthought")					Generic	Supplement IV: Gods, Demigods, Heroes	15	D&D1		
Epimetheus (greater titan) "Afterthought"					Generic	Deities and Demigods Cyclopedia	68	AD&D1		
Epimetheus (greater titan) "Afterthought"					Generic	Legends & Lore	63	AD&D1		
Epycott Plant					Generic	All that Glitters... (UK6)	30	AD&D1		
Equar, Favonian, Greater					Generic	Warriors of Heaven	86	AD&D2		
Equar, Favonian, Lesser					Generic	Warriors of Heaven	86	AD&D2		
Equar, Gildmane, Greater					Generic	Warriors of Heaven	85	AD&D2		
Equar, Gildmane, Lesser					Generic	Warriors of Heaven	85	AD&D2		
Equar, Trothspyre, Greater					Generic	Warriors of Heaven	85	AD&D2		
Equar, Trothspyre, Lesser					Generic	Warriors of Heaven	85	AD&D2		
Equus, Bull					Generic	Dungeon #22	34	AD&D1		
Equus, Camel					Generic	Dungeon #22	34	AD&D1		
Equus, Giant Stag					Generic	Dungeon #22	34	AD&D1		
Equus, Heavy war horse					Generic	Dungeon #22	34	AD&D1		
Equus, Superheavy war horse					Generic	Dungeon #22	34	AD&D1		
Equus, Superheavy war horse (special)					Generic	Dungeon #22	34	AD&D1		
Equus, Ultraheavy war horse					Generic	Dungeon #22	34	AD&D1		
Equus, Unicorn					Generic	Dungeon #22	34	AD&D1		
Equus, Water Buffalo					Generic	Dungeon #22	34	AD&D1		
Erdland					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Eretica (hag)					Generic	Dragon Annual #1	67	AD&D2		
Erinnyes Furies (Alecto, Tisiphone, Megarea)					Generic	Supplement IV: Gods, Demigods, Heroes	17	D&D1		
Erinnyes Furies (Alecto, Tisiphone, Megarea)					Generic	Supplement IV: Gods, Demigods, Heroes	17	D&D1		
Erinnyes Furies (Alecto, Tisiphone, Megarea)					Generic	Supplement IV: Gods, Demigods, Heroes	17	D&D1		
Ermordenung					Ravenloft	Book of Crypts (RR2)	93	AD&D2		
Ermordenung                					Ravenloft	Monstrous Compendium Ravenloft Appendix		AD&D2		
Ermordenung                					Ravenloft	Ravenloft Monstrous Compendium Appendices I & II 	23	AD&D2		
Ermordenung (Nostalia Romaine)					Ravenloft	Monstrous Compendium Ravenloft Appendix II: Children of the Night (MC15)		AD&D2		
Ermordenung (Nostalia Romaine)					Ravenloft	Ravenloft Monstrous Compendium Appendices I & II 	76	AD&D2		
Errtu					Forgotten Realms	Villains' Lorebook	67	AD&D2		
Eryops					Generic	Dragon #176	86	AD&D2		
Erythrosuchus					Generic	Dragon #176	88	AD&D2		
Esperweed					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Estemennosuchus					Generic	Dragon #176	88	AD&D2		
Esthetic					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Ether Golem					Planescape	Guide to the Ethereal Plane	80	AD&D2		
Ether Horse					Planescape	Guide to the Ethereal Plane	63	AD&D2		
Ether Shadow					Generic	Dungeon #35	56	AD&D2		
Ethyk					Generic	Monstrous Compendium Annual Volume Three	41	AD&D2		
Ethyk					Planescape	Planes of Conflict [Monstrous Supplement]	12	AD&D2		
Ettercap					Generic	Fiend Folio	35	AD&D1		
Ettercap					Generic	Monstrous Compendium Volume Two		AD&D2		
Ettercap					Generic	Monstrous Manual 	114	AD&D2		
Ettin					Generic	Monster Manual	40	AD&D1		
Ettin					Generic	Monstrous Compendium Volume Two		AD&D2		
Eucladoceros					Generic	Dragon #167	17	AD&D2		
Euglena					Generic	Dragon #111	30	AD&D1		
Euparkeria					Generic	Dragon #66	54	AD&D1		
Eurypterid (water scorpion)					Generic	Dragon #176	85	AD&D2		
Eurythoe					Generic	Dragon #133	85	AD&D1		
Evil High Priest					Blackmoor	Supplement II: Blackmoor	24	D&D1		
Evil Spirits					Generic	Supplement IV: Gods, Demigods, Heroes	67	D&D1		
Examiner					Generic	I, Tyrant 	77	AD&D2		
Executioner's Hood					Generic	Monster Manual II	64	AD&D1		
Executioner's Hood					Greyhawk	Dungeonland (EX1)	28	AD&D1		
Executioner's Raven					Planescape	In the Cage: A Guide to Sigil	6	AD&D2		
Explodestool					Generic	Dragon #89 [Creature Catalog insert]	C-7	AD&D1		
Eye Killer					Generic	Fiend Folio	35	AD&D1		
Eye of Fear and Flame					Generic	Fiend Folio	35	AD&D1		
Eye of the Deep					Generic	Monster Manual	41	AD&D1		
Eye of the Deep					Generic	I, Tyrant 	74	AD&D2		
Eye, Floating					Generic	Monster Manual	40	AD&D1		
Eyewing					Dragonlance	Dragon Keep (DLE3)	56	AD&D2		
Eyewing					Dragonlance	Dragon Magic (DLE2)	62	AD&D2		
Eyewing					Dragonlance	In Search of Dragons (DLE1)	61	AD&D2		
